username, created_at, lng, lat, text
DatOtherDudeTC, Fri Jan 22 03:31:00 +0000 2021, -84.114022, 40.752455, or Michael Skarn 
NayWasHeree, Fri Jan 22 03:31:00 +0000 2021, -75.117998, 40.004866, @SaluteMeImxKy Girl like we care when her ass was late and stank 🙄 
SueChainz_, Fri Jan 22 03:31:00 +0000 2021, -81.367773, 28.501678, We just heard this 
jesusgaIaz, Fri Jan 22 03:31:00 +0000 2021, -116.929102, 32.332876, Qué fantasía haha 
Procopioisa, Fri Jan 22 03:31:00 +0000 2021, -80.227305, 26.346027, perdi o sushi ele fugiu 
Lawrenc94053320, Fri Jan 22 03:31:00 +0000 2021, -105.550890, 38.997936, @rmayemsinger She is on top of it isn't she oh, you can tell she's really been working her ass off. I must say it i… https://t.co/OkTu1xYbC2 
AngeliqueMGR, Fri Jan 22 03:31:00 +0000 2021, -87.732013, 41.833585, @Hil_0072 @GenoAlanis @carloshr2010 @VampireScreamVM @matias_letras @Vanesa_LeoF @torresgustavot1 @MariaPaulaLuce2… https://t.co/kOxNakzX5B 
AyoLadarius, Fri Jan 22 03:31:00 +0000 2021, -88.821688, 33.456504, Can we talkkkkkk for a minute! 
ChrisLatiolais, Fri Jan 22 03:31:00 +0000 2021, -100.076888, 31.168893, Every single one of my friends. Some I didn’t like at first but we’ve adjusted that 
captanne, Fri Jan 22 03:31:00 +0000 2021, -77.014398, 38.898603, @kathymcmd @SkinnerPm My tortie is vicious!  Pretty as a bug in a rug, but, man, watch your step. https://t.co/HzMQhgwXo4 
WordsSoAccurate, Fri Jan 22 03:31:00 +0000 2021, -87.732013, 41.833585, Killa kam 10-1 in eliminations you a goat @iamkamiam_ 
MonicaAmayann, Fri Jan 22 03:31:00 +0000 2021, -95.446486, 29.838495, En mi mente tienes un enredo 
MikeNairne, Fri Jan 22 03:31:00 +0000 2021, -73.968542, 40.780709, @TheStrickland While ignoring a hot Bullock 
kregger, Fri Jan 22 03:31:00 +0000 2021, -77.487026, 38.748357, The only thing biden is tossing is his dimentia pills 
annafoxylove, Fri Jan 22 03:31:00 +0000 2021, -122.583000, 47.327500, Just posted a photo @ Gig Harbor, Washington https://t.co/ieiROXZEpl 
ssgtweber, Fri Jan 22 03:31:00 +0000 2021, -88.008198, 44.523173, @elonmusk Will stating “use renewable energy so we don’t have to worry about burning and capturing carbon” get me anything? 
baddiequay, Fri Jan 22 03:31:01 +0000 2021, -82.985772, 39.994684, This Living Room’s “go home” song 😭 
JohnRHornbuckle, Fri Jan 22 03:31:01 +0000 2021, -86.680738, 32.576227, @Olivianuzzi This schedule has four items on it, one of which is lunch. 
phillyfan90, Fri Jan 22 03:31:01 +0000 2021, -77.604684, 41.117936, @DonaldJTrumpJr He never did anything in 40 years why would he start now...lol 
GusJames14, Fri Jan 22 03:31:01 +0000 2021, -96.291649, 30.585471, @theTimAF1 @Gusshay1 @Reuters Btw it’s than, not then 
TraitorTrumpKFC, Fri Jan 22 03:31:01 +0000 2021, -117.905645, 33.663609, @GOPChairwoman Repubs right back to the usual propaganda and lies. That didn't take long. 
AmazinDouglas, Fri Jan 22 03:31:01 +0000 2021, -96.761753, 32.819858, Peace of mind is coming 🙏🏾 but I’ll hustle until then 🤟🏾 
alamazan, Fri Jan 22 03:31:01 +0000 2021, -118.411907, 34.020789, @FOTO35MM Noted! Going on my Christmas list! Lol. 
MissPetite18, Fri Jan 22 03:31:01 +0000 2021, -75.117998, 40.004866, whewww just told some nigga this 
DeshaDiorr, Fri Jan 22 03:31:01 +0000 2021, -73.948775, 40.655138, Not her throwing shade at Ashanti about waiting #Verzuz https://t.co/575NtuG80V 
xoneci, Fri Jan 22 03:31:01 +0000 2021, -85.090078, 35.060166, Damn Keyshia got 30 cups on that table 
zoeshrugged, Fri Jan 22 03:31:01 +0000 2021, -111.917026, 40.765805, Bernie does it for the culture. Here he is auditioning for @lilyachty next video. #BernieSandersMittens… https://t.co/LbhkTv83R6 
Alexxghh, Fri Jan 22 03:31:01 +0000 2021, -78.657837, 35.843981, BYE 
BrettBerryhill, Fri Jan 22 03:31:01 +0000 2021, -100.076888, 31.168893, Beast! 
carlamenegari, Fri Jan 22 03:31:01 +0000 2021, -122.144030, 37.414371, o nome da filha do zayn e da gigi é khai, gostei 
TinoYbarra, Fri Jan 22 03:31:01 +0000 2021, -83.291425, 42.651668, “The Ramones are here and they don’t fight!” #tbtXFiles 
IsaiahHoward_, Fri Jan 22 03:31:01 +0000 2021, -95.508925, 29.574284, Yeah run this hoe back 
GxxNAA, Fri Jan 22 03:31:02 +0000 2021, -79.272570, 43.629311, It's true tho she sings so pretty when she dnt sing loud 
macharlie29, Fri Jan 22 03:31:01 +0000 2021, -104.922093, 39.713563, On the road again 🏂 https://t.co/PY2tmL2R7z 
keyateemup, Fri Jan 22 03:31:02 +0000 2021, -82.063185, 33.440717, This man will do ANYTHING to remain relevant. 
SeanHa1l, Fri Jan 22 03:31:02 +0000 2021, -71.566171, 44.001230, Did you ever get around to watching this?! Otherwise I might need to alert the authorities. 
TrademarkJuice, Fri Jan 22 03:31:02 +0000 2021, -79.857363, 36.090397, ? 
MendezAlex03, Fri Jan 22 03:31:02 +0000 2021, -80.307064, 25.976124, @geovapc No hay cama pa tanta gente, hay que buscar por la aplicación a ver quien llegó primero 
fkemboi26, Fri Jan 22 03:31:02 +0000 2021, -149.758794, 61.235042, @BernieSanders spotted somewhere in Africa 😂😂✊ https://t.co/uBZD6zJwkQ 
jensfuneral, Fri Jan 22 03:31:02 +0000 2021, -80.178392, 26.039680, not josy calling me simp simperton 
